Angle (degrees),CB (mm),Water Line Height (mm),Righting Moments (N)
0,[0.00603635 0.01761517 2.53326832],33.93906123936177,-8.64024078659588e-05
5,[ 0.01264936 -1.80819342  2.42664908],33.535514188928325,0.008869188707529917
10,[ 0.01781935 -3.6651749   2.17871287],32.729293930118544,0.01797768286661872
15,[ 0.01821208 -5.45448085  1.72211779],31.599432997443216,0.026754228580528595
20,[ 0.01821873 -7.07173811  1.17891486],30.465491265216407,0.034686875450675184
25,[ 0.01819825 -8.45820854  0.57398191],29.430317983831696,0.04148751290479157
30,[ 0.01819968 -9.5330264  -0.23140021],28.314369924416177,0.04675949448803791
35,[  0.01820602 -10.37697057  -1.14905936],27.19473100745186,0.05089904065617289
40,[  0.01816558 -11.04031863  -2.01744811],26.341448040055724,0.05415276287479034
45,[  0.01814463 -11.54999246  -3.08421715],25.198025324198497,0.05665271304033615
50,[  0.01804239 -11.92646382  -4.01729898],24.431067929443817,0.05849930503392209
55,[  0.01809297 -12.19255222  -5.14740441],23.288684596712592,0.05980446863711754
60,[  0.01803608 -12.35275465  -6.12427739],22.52181947458891,0.060590261550648096
65,[  0.01804177 -12.43553137  -7.24325845],21.458063331995763,0.06099628137780863
70,[  0.01808156 -12.45772968  -8.37286815],20.392550288619198,0.06110516410009369
75,[  0.01809225 -12.44238718  -9.45137356],19.47157239175725,0.06102990910625193
80,[  0.01810923 -12.43440228 -10.57817357],18.504792972193712,0.060990743204288204
85,[  0.01807432 -12.46619893 -11.5694018 ],17.91401441309843,0.06114670574319831
90,[  0.01808487 -12.55435711 -12.68141194],17.143116295337684,0.061579121623042826
95,[  0.01807227 -12.56349697 -13.75292048],16.374852066646792,0.06162395264007993
100,[  0.01809212 -12.50079294 -14.90263166],15.345213331407312,0.06131638935595143
105,[  0.01714216 -12.38301093 -15.96153399],14.381274093835362,0.06073866863452627
110,[ 1.29812791e-02 -1.22501672e+01 -1.70858362e+01],13.199151316800101,0.06008706995341342
115,[ 1.49349023e-02 -1.21234617e+01 -1.81716611e+01],11.992770635719149,0.059465579638186924
120,[  0.02059945 -12.05991339 -19.14531752],10.918987033245571,0.05915387519604252
125,[  0.02432444 -12.07785528 -20.21053236],9.623632996778419,0.05924188014120654
130,[  0.02436381 -12.04139584 -21.28601373],8.156795798907433,0.05906304657453675
135,[  0.02438036 -11.86540739 -22.3563982 ],6.569560452215052,0.058199823264270034
140,[  0.02440612 -11.48009247 -23.29338117],5.227769696763611,0.05630985357610285
145,[ 2.42505255e-02 -1.07218509e+01 -2.43580032e+01],3.7579430532944977,0.0525906784292601
150,[ 2.41893381e-02 -9.57749029e+00 -2.51496740e+01],3.032088074261548,0.04697758984866259
155,[ 2.43273990e-02 -8.24314126e+00 -2.59985370e+01],2.0684858477621115,0.04043260787852304
160,[ 2.43637468e-02 -6.76069591e+00 -2.66623297e+01],1.3966919233962902,0.03316121344309668
165,[ 2.42869237e-02 -5.16556342e+00 -2.71333619e+01],1.019141262231532,0.02533708859007681
170,[ 2.41780866e-02 -3.49214429e+00 -2.74937302e+01],0.7117570152802811,0.017128967732170666
175,[ 2.42700981e-02 -1.77117925e+00 -2.78174379e+01],0.26670741173314005,0.008687634244414868
180,[ 2.42022364e-02 -2.43470419e-02 -2.78205451e+01],0.3906257450580563,0.00011942224038821905
185,[ 2.42647032e-02  1.72254440e+00 -2.78224153e+01],0.26487286593038506,0.008449080285194789
190,[ 2.41976331e-02  3.44338800e+00 -2.75030357e+01],0.7082218345836016,0.016889818146512164
195,[ 2.42445082e-02  5.11553081e+00 -2.72187097e+01],0.8321953418903064,0.025091678628785082
200,[ 2.41876093e-02  6.70730712e+00 -2.66255594e+01],1.5181838619810883,0.032899341440836116
205,[ 2.42225906e-02  8.18771229e+00 -2.60258329e+01],2.039994677927273,0.04016072877757604
210,[ 2.42336416e-02  9.51925542e+00 -2.52427588e+01],2.8596451885832215,0.046691947826498804
215,[ 2.41995411e-02  1.06697894e+01 -2.43010579e+01],3.9329594458018327,0.05233531717705059
220,[  0.02416379  11.42623327 -23.42536967],5.000667737289221,0.05604567421234069
225,[  0.02417026  11.84929602 -22.32055272],6.665864941135057,0.058120796988768125
230,[  0.0242285   12.00673434 -21.35015594],8.074520959252302,0.05889303191921627
235,[  0.02413111  12.03976828 -20.24468185],9.588604690924575,0.05905506340393341
240,[  0.02055649  12.02685095 -19.16904482],10.906933244927231,0.05899170392557781
245,[ 1.53179442e-02  1.20935266e+01 -1.82017631e+01],11.97356753799246,0.05931874816899277
250,[ 1.31353566e-02  1.22237248e+01 -1.71141089e+01],13.187899507896974,0.05995737037871101
255,[  0.01731853  12.36010851 -15.99189969],14.370078397956366,0.06062633223543115
260,[  0.0182746   12.48151513 -14.93469197],15.33417506531238,0.061221831732860874
265,[  0.01830345  12.55809603 -13.90366665],16.13673493831523,0.061597461030520204
270,[  0.0182483   12.54211714 -12.7104762 ],17.143116295337677,0.061519084593157546
275,[  0.01836096  12.47422726 -11.71862275],17.67589728476686,0.061186084728718226
280,[  0.01834689  12.4411138  -10.61666099],18.49825177747077,0.061023663179384666
285,[ 0.01835226 12.45667354 -9.49057687],19.464850277658044,0.06109998371840823
290,[ 0.01833695 12.47565073 -8.41067399],20.385710593986104,0.06119306685054177
295,[ 0.01830209 12.45899702 -7.28322508],21.445131168462968,0.06111138039443158
300,[ 0.01828373 12.38685324 -6.24565046],22.326522584673647,0.060757515130711995
305,[ 0.01829811 12.22946985 -5.14799304],23.363366265641723,0.05998554961016743
310,[ 0.01838431 11.97294044 -4.11469647],24.2883033260129,0.05872727283535109
315,[ 0.01833981 11.59779443 -3.05630169],25.321037160219912,0.05688718166558791
320,[ 0.01830391 11.09142577 -2.09295352],26.23560712640019,0.05440344342088163
325,[ 0.01827003 10.43368461 -1.0930078 ],27.34757905386119,0.05117722299241865
330,[ 0.01828862  9.58483237 -0.29181742],28.229267747588377,0.047013602779673244
335,[0.01828316 8.50856624 0.51722284],29.348613366022683,0.04173451740289428
340,[0.01827229 7.15120075 1.26737848],30.619349864948152,0.03507663969976413
345,[0.01829948 5.53363992 1.80520318],31.72982242041141,0.02714250382154649
350,[0.01792374 3.72446871 2.17982572],32.72347972017836,0.01826851899825452
355,[0.01269572 1.86582248 2.43355679],33.53246804675331,0.009151859288294949
